"","PMID","FullCitation"
"1","22915242","Abe H, Maeda D, Hino R, et al. (2012) ARID1A expression loss in gastric cancer: pathway-dependent roles with and without Epstein-Barr virus infection and microsatellite instability. Virchows Arch 461(4):367-77"
"2","14520695","Adem C, Soderberg CL, Cunningham JM, et al. (2003) Microsatellite instability in hereditary and sporadic breast cancers. Int J Cancer 107(4):580-2"
"3","23887303","Allo G, Bernardini MQ, Wu RC, et al. (2014) ARID1A loss correlates with mismatch repair deficiency and intact p53 expression in high-grade endometrial carcinomas. Mod Pathol 27(2):255-61"
"4","18465328","Alsner J, Jensen V, Kyndi M, et al. (2008) A comparison between p53 accumulation determined by immunohistochemistry and TP53 mutations as prognostic variables in tumours from breast cancer patients. Acta Oncol 47(4):600-7"
"5","16288292","Altomare DA, Testa JR (2005) Perturbations of the AKT signaling pathway in human cancer. Oncogene 24(50):7455-64"
"6","26936308","Ameratunga M, McArthur G, Gan H, et al. (2016) Prolonged disease control with MEK inhibitor in neurofibromatosis type I-associated glioblastoma. J Clin Pharm Ther ePub Mar 2016"
"7","10213220","Anbazhagan R, Fujii H, Gabrielson E (1999) Microsatellite instability is uncommon in breast cancer. Clin Cancer Res 5(4):839-44"
"8","27091708","André F, Hurvitz S, Fasolo A, et al. (2016) Molecular Alterations and Everolimus Efficacy in Human Epidermal Growth Factor Receptor 2-Overexpressing Metastatic Breast Cancers: Combined Exploratory Biomarker Analysis From BOLERO-1 and BOLERO-3. J Clin Oncol ePub Apr 2016"
"9","24742739","André F, O'Regan R, Ozguroglu M, et al. (2014) Everolimus for women with trastuzumab-resistant, HER2-positive, advanced breast cancer (BOLERO-3): a randomised, double-blind, placebo-controlled phase 3 trial. Lancet Oncol 15(6):580-91"
"10","25482239","Ansell SM, Lesokhin AM, Borrello I, et al. (2014) PD-1 Blockade with Nivolumab in Relapsed or Refractory Hodgkin's Lymphoma. N Engl J Med ePub Dec 2014"
"11","23586058","Apostolou P, Fostira F (2013) Hereditary breast cancer: the era of new susceptibility genes. Biomed Res Int 2013:747318"
"12","22565002","Bachelot T, Bourgier C, Cropet C, et al. (2012) Randomized phase II trial of everolimus in combination with tamoxifen in patients with hormone receptor-positive, human epidermal growth factor receptor 2-negative metastatic breast cancer with prior exposure to aromatase inhibitors: a GINECO study. J Clin Oncol 30(22):2718-24"
"13","24623249","Bairwa NK, Saha A, Gochhait S, et al. (2014) Microsatellite instability: an indirect assay to detect defects in the cellular mismatch repair machinery. Methods Mol Biol 1105:497-509"
"14","27939400","Balar AV, Galsky MD, Rosenberg JE, et al. (2017) Atezolizumab as first-line treatment in cisplatin-ineligible patients with locally advanced and metastatic urothelial carcinoma: a single-arm, multicentre, phase 2 trial. Lancet 389(10064):67-76"
"15","22722202","Banerji S, Cibulskis K, Rangel-Escareno C, et al. (2012) Sequence analysis of mutations and translocations across breast cancer subtypes. Nature 486(7403):405-9"
"16","26541326","Baptista MZ, Sarian LO, Derchain SF, et al. (2015) Prognostic significance of PD-L1 and PD-L2 in breast cancer. Hum Pathol ePub Sep 2015"
"17","17947469","Barbareschi M, Buttitta F, Felicioni L, et al. (2007) Different prognostic roles of mutations in the helical and kinase domains of the PIK3CA gene in breast carcinomas. Clin Cancer Res 13(20):6064-9"
"18","22744290","Barbareschi M, Cuorvo LV, Girlando S, et al. (2012) PI3KCA mutations and/or PTEN loss in Her2-positive breast carcinomas treated with trastuzumab are not related to resistance to anti-Her2 therapy. Virchows Arch 461(2):129-39"
"19","22149876","Baselga J, Campone M, Piccart M, et al. (2012) Everolimus in postmenopausal hormone-receptor-positive advanced breast cancer. N Engl J Med 366(6):520-9"
"20","19380449","Baselga J, Semiglazov V, van Dam P, et al. (2009) Phase II randomized study of neoadjuvant everolimus plus letrozole compared with placebo plus letrozole in patients with estrogen receptor-positive breast cancer. J Clin Oncol 27(16):2630-7"
"21","27893038","Basho RK, Gilcrease M, Murthy RK, et al. (2017) Targeting the PI3K/AKT/mTOR Pathway for the Treatment of Mesenchymal Triple-Negative Breast Cancer: Evidence From a Phase 1 Trial of mTOR Inhibition in Combination With Liposomal Doxorubicin and Bevacizumab. JAMA Oncol 3(4):509-515"
"22","21635707","Bazarov AV, Yaswen P (2011) Who is in the driver's seat in 8p12 amplifications? ZNF703 in luminal B breast tumors. Breast Cancer Res 13(3):308"
"23","24362951","Beck JT, Hortobagyi GN, Campone M, et al. (2014) Everolimus plus exemestane as first-line therapy in HR⁺, HER2⁻ advanced breast cancer in BOLERO-2. Breast Cancer Res Treat 143(3):459-67"
"24","7657393","Bellacosa A, de Feo D, Godwin AK, et al. (1995) Molecular alterations of the AKT2 oncogene in ovarian and breast carcinomas. Int J Cancer 64(4):280-5"
"25","20460501","Benson DM, Bakan CE, Mishra A, et al. (2010) The PD-1/PD-L1 axis modulates the natural killer cell versus multiple myeloma effect: a therapeutic target for CT-011, a novel monoclonal anti-PD-1 antibody. Blood 116(13):2286-94"
"26","25686104","Bitler BG, Aird KM, Garipov A, et al. (2015) Synthetic lethality by targeting EZH2 methyltransferase activity in ARID1A-mutated cancers. Nat Med 21(3):231-8"
"27","20420947","Boland CR, Goel A (2010) Microsatellite instability in colorectal cancer. Gastroenterology 138(6):2073-2087.e3"
"28","9823339","Boland CR, Thibodeau SN, Hamilton SR, et al. (1998) A National Cancer Institute Workshop on Microsatellite Instability for cancer detection and familial predisposition: development of international criteria for the determination of microsatellite instability in colorectal cancer. Cancer Res 58(22):5248-57"
"29","26412456","Borghaei H, Paz-Ares L, Horn L, et al. (2015) Nivolumab versus Docetaxel in Advanced Nonsquamous Non-Small-Cell Lung Cancer. N Engl J Med ePub Sep 2015"
"30","23702729","Bosse T, ter Haar NT, Seeber LM, et al. (2013) Loss of ARID1A expression and its relationship with PI3K-Akt pathway alterations, TP53 and microsatellite instability in endometrial cancer. Mod Pathol 26(11):1525-35"
"31","27001570","Bouffet E, Larouche V, Campbell BB, et al. (2016) Immune Checkpoint Inhibition for Hypermutant Glioblastoma Multiforme Resulting From Germline Biallelic Mismatch Repair Deficiency. J Clin Oncol ePub Mar 2016"
"32","26014290","Bougeard G, Renaux-Petel M, Flaman JM, et al. (2015) Revisiting Li-Fraumeni Syndrome From TP53 Mutation Carriers. J Clin Oncol 33(21):2345-52"
"33","26028407","Brahmer J, Reckamp KL, Baas P, et al. (2015) Nivolumab versus Docetaxel in Advanced Squamous-Cell Non-Small-Cell Lung Cancer. N Engl J Med ePub May 2015"
